Episode:1 score:-123.86 avgscore:-123.86 highscore:-123.86 time:1.25
Episode:2 score:-49.70 avgscore:-86.78 highscore:-49.70 time:0.57
Episode:3 score:-474.08 avgscore:-215.88 highscore:-49.70 time:0.89
Episode:4 score:-170.95 avgscore:-204.65 highscore:-49.70 time:0.97
Episode:5 score:-350.01 avgscore:-233.72 highscore:-49.70 time:1.02
Episode:6 score:-114.34 avgscore:-213.82 highscore:-49.70 time:0.77
Episode:7 score:-139.36 avgscore:-203.19 highscore:-49.70 time:0.86
Episode:8 score:-114.36 avgscore:-192.08 highscore:-49.70 time:0.68
Episode:9 score:-124.31 avgscore:-184.55 highscore:-49.70 time:0.73
Episode:10 score:-343.84 avgscore:-200.48 highscore:-49.70 time:0.96
Episode:11 score:-316.49 avgscore:-211.03 highscore:-49.70 time:0.89
Episode:12 score:-346.37 avgscore:-222.31 highscore:-49.70 time:0.86
Episode:13 score:-120.37 avgscore:-214.46 highscore:-49.70 time:0.82
Episode:14 score:-117.15 avgscore:-207.51 highscore:-49.70 time:0.62
Episode:15 score:-153.53 avgscore:-203.91 highscore:-49.70 time:0.83
Episode:16 score:-105.56 avgscore:-197.77 highscore:-49.70 time:0.88
Episode:17 score:-272.86 avgscore:-202.18 highscore:-49.70 time:1.23
Episode:18 score:-116.21 avgscore:-197.41 highscore:-49.70 time:0.86
Episode:19 score:-129.65 avgscore:-193.84 highscore:-49.70 time:0.83
Episode:20 score:-79.49 avgscore:-188.12 highscore:-49.70 time:0.56
Episode:21 score:-87.17 avgscore:-183.32 highscore:-49.70 time:0.70
Episode:22 score:-74.00 avgscore:-178.35 highscore:-49.70 time:0.52
Episode:23 score:-341.42 avgscore:-185.44 highscore:-49.70 time:1.04
Episode:24 score:-137.91 avgscore:-183.46 highscore:-49.70 time:0.69
Episode:25 score:-82.45 avgscore:-179.42 highscore:-49.70 time:0.60
Episode:26 score:-352.69 avgscore:-186.08 highscore:-49.70 time:0.88
Episode:27 score:-86.58 avgscore:-182.40 highscore:-49.70 time:0.94
Episode:28 score:-142.49 avgscore:-180.97 highscore:-49.70 time:0.71
Episode:29 score:-122.66 avgscore:-178.96 highscore:-49.70 time:0.82
Episode:30 score:-118.47 avgscore:-176.94 highscore:-49.70 time:1.52
Episode:31 score:-113.02 avgscore:-174.88 highscore:-49.70 time:0.81
