Episode:1 score:-124.37 avgscore:-124.37 highscore:-124.37
Episode:2 score:-119.30 avgscore:-121.83 highscore:-119.30
Episode:3 score:-88.63 avgscore:-110.77 highscore:-88.63
Episode:4 score:-63.45 avgscore:-98.94 highscore:-63.45
Episode:5 score:-97.60 avgscore:-98.67 highscore:-63.45
Episode:6 score:-57.89 avgscore:-91.88 highscore:-57.89
Episode:7 score:-64.87 avgscore:-88.02 highscore:-57.89
Episode:8 score:17.11 avgscore:-74.88 highscore:17.11
Episode:9 score:-40.93 avgscore:-71.10 highscore:17.11
Episode:10 score:-99.29 avgscore:-73.92 highscore:17.11
Episode:11 score:-401.40 avgscore:-103.69 highscore:17.11
Episode:12 score:-122.42 avgscore:-105.25 highscore:17.11
Episode:13 score:-186.49 avgscore:-111.50 highscore:17.11
Episode:14 score:-295.72 avgscore:-124.66 highscore:17.11
Episode:15 score:-87.95 avgscore:-122.21 highscore:17.11
Episode:16 score:-283.16 avgscore:-132.27 highscore:17.11
Episode:17 score:-384.16 avgscore:-147.09 highscore:17.11
Episode:18 score:-146.70 avgscore:-147.07 highscore:17.11
Episode:19 score:-135.49 avgscore:-146.46 highscore:17.11
Episode:20 score:-217.05 avgscore:-149.99 highscore:17.11
Episode:21 score:-342.02 avgscore:-159.13 highscore:17.11
Episode:22 score:-209.19 avgscore:-161.41 highscore:17.11
Episode:23 score:-342.48 avgscore:-169.28 highscore:17.11
Episode:24 score:-324.73 avgscore:-175.76 highscore:17.11
Episode:25 score:-186.67 avgscore:-176.19 highscore:17.11
Episode:26 score:-305.46 avgscore:-181.17 highscore:17.11
Episode:27 score:-171.09 avgscore:-180.79 highscore:17.11
Episode:28 score:-118.88 avgscore:-178.58 highscore:17.11
Episode:29 score:-454.72 avgscore:-188.10 highscore:17.11
Episode:30 score:-364.46 avgscore:-193.98 highscore:17.11
Episode:31 score:-341.40 avgscore:-198.74 highscore:17.11
Episode:32 score:-176.17 avgscore:-198.03 highscore:17.11
Episode:33 score:-450.49 avgscore:-205.68 highscore:17.11
Episode:34 score:-295.95 avgscore:-208.34 highscore:17.11
Episode:35 score:-314.52 avgscore:-211.37 highscore:17.11
Episode:36 score:-473.10 avgscore:-218.64 highscore:17.11
Episode:37 score:-93.38 avgscore:-215.26 highscore:17.11
Episode:38 score:-67.30 avgscore:-211.36 highscore:17.11
Episode:39 score:-448.69 avgscore:-217.45 highscore:17.11
Episode:40 score:-319.97 avgscore:-220.01 highscore:17.11
Episode:41 score:-191.48 avgscore:-219.32 highscore:17.11
Episode:42 score:-39.58 avgscore:-215.04 highscore:17.11
Episode:43 score:-217.27 avgscore:-215.09 highscore:17.11
Episode:44 score:-370.96 avgscore:-218.63 highscore:17.11
Episode:45 score:-94.70 avgscore:-215.88 highscore:17.11
Episode:46 score:-473.52 avgscore:-221.48 highscore:17.11
Episode:47 score:-523.44 avgscore:-227.90 highscore:17.11
Episode:48 score:-216.30 avgscore:-227.66 highscore:17.11
Episode:49 score:-315.44 avgscore:-229.45 highscore:17.11
Episode:50 score:-191.70 avgscore:-228.70 highscore:17.11
Episode:51 score:-367.89 avgscore:-233.57 highscore:17.11
Episode:52 score:-42.78 avgscore:-232.04 highscore:17.11
Episode:53 score:-364.18 avgscore:-237.55 highscore:17.11
Episode:54 score:13.86 avgscore:-236.00 highscore:17.11
Episode:55 score:-374.42 avgscore:-241.54 highscore:17.11
Episode:56 score:-96.63 avgscore:-242.31 highscore:17.11
Episode:57 score:-73.30 avgscore:-242.48 highscore:17.11
Episode:58 score:-397.05 avgscore:-250.76 highscore:17.11
Episode:59 score:-274.78 avgscore:-255.44 highscore:17.11
Episode:60 score:-338.28 avgscore:-260.22 highscore:17.11
Episode:61 score:-71.69 avgscore:-253.63 highscore:17.11
Episode:62 score:-336.21 avgscore:-257.90 highscore:17.11
Episode:63 score:-70.65 avgscore:-255.59 highscore:17.11
Episode:64 score:-229.92 avgscore:-254.27 highscore:17.11
Episode:65 score:-96.09 avgscore:-254.43 highscore:17.11
Episode:66 score:-261.50 avgscore:-254.00 highscore:17.11
Episode:67 score:-417.02 avgscore:-254.66 highscore:17.11
Episode:68 score:-317.88 avgscore:-258.08 highscore:17.11
